student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar,2_yr_inst,4_yr_inst,private_fp,private,public,hbcu_no,hbcu_yes,flagship_no,flagship_yes,associates_privatefp,associates_pr_sl,associates_pr_sm,associates_pu_multi,bachelors_as,bacelors_df,bachelors_associates,masters_lp,masters_mp,Other_institutions
2191,34,20.95158466646544,24.6,30416.0,30416,38763,100.0,2983,3310.0,8677.865365853659,21,21,66.0,43,21.2,1.0,124,23.2,128,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
471,5,20.95158466646544,22.79326963024512,53231.42932960894,57636,37780,11.7,263,2930.0,220.0,15,19,20.9,40,22.2,2.0,289,16.6,26,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
2761,27,20.95158466646544,24.6,48603.0,25661,38763,53.9,2008,4689.0,8677.865365853659,15,23,82.6,67,14.1,23.0,83,62.4,59,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
676,21,20.95158466646544,24.6,25833.0,25661,38763,100.0,573,3736.0,8677.865365853659,27,42,72.6,67,53.6,23.0,517,57.64853159299911,426,20,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
691,21,20.95158466646544,22.79326963024512,38369.0,21312,24795,90.3,767,4077.0,8677.865365853659,10,68,73.0,71,24.0,12.0,81,57.64853159299911,414,20,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
440,21,20.95158466646544,22.79326963024512,23947.0,21312,24795,99.3,379,3556.0,8677.865365853659,4,63,65.1,72,42.1,12.0,81,57.64853159299911,481,20,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
209,24,21.7,22.5,44486.0,35493,101725,100.0,401,3651.0,8677.865365853659,27,42,84.3,65,64.3,4.0,517,57.64853159299911,426,20,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
828,18,20.95158466646544,24.6,71648.0,25661,38763,100.0,736,4191.0,8677.865365853659,37,42,66.1,44,14.8,23.0,124,57.64853159299911,56,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2552,23,22.0,21.5,79866.0,75690,66436,90.3,2157,8503.0,8058.0,37,59,33.8,84,87.6,4.0,106,59.4,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
8000,20,20.4,22.79326963024512,28732.0,25969,37780,35.0,5538,5138.0,309.0,10,17,58.0,62,31.1,20.0,128,38.5,954,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2552,21,22.0,21.5,86900.0,75690,66436,89.7,2157,10381.0,15972.0,39,61,32.7,81,76.4,4.0,106,73.5,426,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
216,12,20.95158466646544,24.6,113274.0,25661,38763,58.3,277,2616.0,8677.865365853659,10,33,53.1,84,56.5,23.0,114,46.8,30,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
6445,20,20.4,22.79326963024512,49921.0,25969,37780,33.0,4893,3603.0,847.0,18,18,46.4,49,21.4,20.0,99,19.5,514,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
684,27,20.95158466646544,24.6,48057.0,25661,38763,100.0,685,4235.0,8677.865365853659,20,20,83.5,67,6.7,23.0,343,69.3,5,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
4453,22,20.4,22.79326963024512,11180.0,25969,37780,37.0,7909,4089.0,665.0,10,18,30.8,56,24.9,20.0,128,30.5,481,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
6602,17,20.4,22.79326963024512,26448.0,25969,37780,29.6,3810,4717.0,8677.865365853659,13,22,19.8,54,25.7,20.0,128,43.5,818,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1879,20,21.7,22.5,0.0,35493,101725,93.3,1674,10781.0,11293.0,36,59,28.8,82,70.2,4.0,343,77.9,399,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2552,21,20.4,22.79326963024512,26032.0,25969,37780,34.6,2157,3411.0,8677.865365853659,5,12,38.1,59,31.4,20.0,125,32.8,426,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2552,17,20.95158466646544,24.6,34866.0,25661,38763,22.7,2157,7117.0,8677.865365853659,24,30,52.6,58,11.0,23.0,386,8.9,112,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2238,15,20.95158466646544,24.6,34973.0,25661,38763,100.0,3081,4745.0,8677.865365853659,32,70,77.9,87,49.4,23.0,83,57.64853159299911,34,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
93,24,20.95158466646544,22.79326963024512,26096.0,21312,24795,100.0,523,3676.0,8677.865365853659,0,62,51.5,77,22.2,12.0,517,57.64853159299911,253,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
6440,23,20.4,22.79326963024512,27255.0,25969,37780,20.9,3415,2822.0,8677.865365853659,7,13,33.7,55,28.0,20.0,125,11.8,240,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2552,22,20.4,22.79326963024512,25949.0,25969,37780,31.9,2157,3225.0,8677.865365853659,5,12,37.3,56,29.1,20.0,125,31.6,426,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
409,35,20.95158466646544,24.6,31167.0,25661,38763,74.6,468,4364.0,8677.865365853659,25,25,73.0,67,11.1,23.0,54,64.3,8,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
498,36,20.95158466646544,24.6,29620.0,25661,38763,78.7,575,4519.0,8677.865365853659,0,6,68.0,67,11.4,23.0,54,59.6,16,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
5227,21,20.4,22.79326963024512,28574.0,25969,37780,27.4,3309,6417.0,1135.0,18,18,47.7,52,20.7,20.0,99,16.2,254,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1466,10,22.0,21.5,53231.42932960894,75690,66436,62.2,1357,4746.0,3400.0,27,42,82.2,80,100.0,4.0,33,56.1,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2552,20,22.0,21.5,49529.0,75690,66436,83.8,2157,7224.0,4163.0,30,49,37.8,71,61.2,4.0,96,58.8,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3233,8,20.4,22.79326963024512,59951.0,25969,37780,20.8,1964,2982.0,6.0,5,10,29.4,26,32.2,20.0,128,6.4,149,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2552,22,20.4,22.79326963024512,28815.0,25969,37780,27.0,7001,3349.0,8677.865365853659,4,10,47.3,60,21.0,20.0,125,16.8,734,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
3099,23,20.95158466646544,24.6,25979.0,25661,38763,100.0,2721,4529.0,8677.865365853659,0,15,52.4,46,5.6,23.0,386,27.7,328,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2552,22,20.4,22.79326963024512,30402.0,25969,37780,35.8,2157,3573.0,240.0,3,6,32.7,60,27.3,20.0,125,28.5,426,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1726,24,20.95158466646544,24.6,14597.0,25661,38763,100.0,2357,5577.0,8677.865365853659,27,42,49.0,80,39.4,23.0,517,57.64853159299911,426,20,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
930,23,20.95158466646544,22.79326963024512,17582.0,25926,24795,100.0,1393,5501.0,8677.865365853659,26,69,61.8,72,35.4,2.0,517,57.64853159299911,960,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
545,26,21.7,22.5,48453.0,35493,101725,81.5,680,11847.0,1166.0,23,37,45.5,73,67.0,4.0,106,33.2,69,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
621,21,20.95158466646544,22.79326963024512,15618.0,21312,24795,100.0,842,4183.0,8677.865365853659,33,69,64.5,69,90.5,12.0,517,57.64853159299911,627,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
2552,7,20.4,22.79326963024512,13257.0,25969,37780,14.2,2157,2470.0,8677.865365853659,15,17,25.6,67,2.3,20.0,125,5.0,343,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
10313,27,20.4,22.79326963024512,28959.0,25969,37780,30.6,6030,3242.0,8677.865365853659,6,15,22.0,57,30.2,20.0,31,27.1,996,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
4718,28,20.4,22.79326963024512,30571.0,25969,37780,30.5,2737,3271.0,8677.865365853659,9,16,50.5,59,26.3,20.0,125,16.8,424,20,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
635,16,21.7,22.5,123061.0,35493,101725,71.5,526,6254.176693925234,3657.0,28,47,32.8,68,20.5,4.0,343,47.8,57,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2337,38,20.95158466646544,22.79326963024512,25952.0,21312,24795,100.0,3860,3808.0,8677.865365853659,25,65,48.1,70,100.0,12.0,517,57.64853159299911,1467,20,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1497,30,20.95158466646544,24.6,40401.0,25661,38763,100.0,985,5123.0,8677.865365853659,12,18,38.6,67,1.8,23.0,169,32.3,206,20,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
8197,19,20.4,22.79326963024512,35443.0,25969,37780,27.1,4258,5727.0,2040.0,11,16,31.4,62,52.6,20.0,128,22.3,450,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
9970,18,19.6,21.5,53575.0,47347,66436,55.7,7814,6619.0,7674.0,7,21,40.3,69,60.9,10.0,79,41.0,812,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1027,10,19.4,22.5,85798.0,82509,101725,84.4,877,9942.0,8677.865365853659,4,8,71.1,39,63.6,12.0,124,100.0,359,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
592,18,19.4,22.5,127686.0,82509,101725,94.9,559,16486.0,8677.865365853659,43,49,46.2,69,70.7,12.0,252,68.9,143,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
2552,17,19.6,21.5,67345.0,47347,66436,88.4,2157,7137.0,36209.0,36,60,24.3,82,86.2,10.0,106,69.1,426,20,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2521,14,19.6,21.5,84603.0,47347,66436,91.2,2494,7549.0,681.0,5,25,69.9,56,81.1,10.0,343,81.2,786,20,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
4380,26,23.6,22.79326963024512,18363.0,25729,37780,50.7,3387,4123.0,43.0,24,35,31.6,54,49.2,22.0,47,61.5,808,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
10098,23,19.6,21.5,27456.0,47347,66436,75.7,9242,7744.0,3440.0,18,35,46.2,73,73.9,10.0,386,65.1,1655,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
10482,21,19.6,21.5,27356.0,47347,66436,67.4,8398,6455.0,2252.0,20,40,45.6,69,61.6,10.0,386,70.7,1348,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
3706,21,19.6,21.5,39837.0,47347,66436,66.8,3031,6197.0,824.0,10,22,64.7,42,72.7,10.0,106,69.2,504,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2248,21,23.6,22.79326963024512,16384.0,25729,37780,62.8,1906,4429.0,8677.865365853659,8,14,64.1,59,51.7,22.0,289,61.0,451,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
9754,23,19.6,21.5,50994.0,47347,66436,84.9,8908,7764.0,2317.0,20,41,39.4,69,73.7,10.0,386,72.9,426,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
827,16,19.4,22.5,53668.0,82509,101725,78.6,742,7195.0,3390.0,18,37,45.3,67,40.3,12.0,343,54.4,37,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1597,20,23.6,22.79326963024512,33398.0,25729,37780,40.8,1011,4695.0,76.0,17,22,38.2,59,45.2,22.0,47,30.2,180,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
