chronname,city,state,level,control,basic,hbcu,flagship,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,med_sat_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar
Lansing Community College,Lansing,Michigan,2-year,Public,Associates--Public Rural-serving Large,no,no,17562,16.8,18.2,16.5,35019,40211,37780,37.5,12822,1059.8893044128647,4122.0,771.0,3.2,8.0,43.9,58.8,10.2,30,128,23.7,2515.0,20.0
Lawrence Technological University,Southfield,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,3033,24.9,24.2,22.5,59970,54025,101725,50.6,1847,1145.0,11400.0,11860.0,16.1,49.1,18.5,81.8,28.6,39,386,45.5,330.0,20.0
Macomb Community College,Warren,Michigan,2-year,Public,Associates--Public Suburban-serving Multicampus,no,no,23446,20.8,18.2,16.5,36743,40211,37780,32.0,15669,1059.8893044128647,3995.0,1106.0,4.7,12.3,23.0,62.0,19.7,30,99,19.9,786.0,20.0
Madonna University,Livonia,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,3352,34.9,24.2,22.5,27938,54025,101725,50.1,2516,1034.0,5109.0,9934.0,30.6,40.0,35.7,81.8,100.0,39,169,21.9,160.0,20.0
Marygrove College,Detroit,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,1041,16.9,24.2,22.5,38975,54025,101725,76.9,811,780.0,10459.0,985.0,8.0,29.2,70.4,66.9,24.9,39,386,50.4,113.0,20.0
Rochester College,Rochester Hills,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,1117,29.5,24.2,22.5,44622,54025,101725,63.7,893,1059.8893044128647,8363.0,1332.0,18.8,43.5,38.8,57.5,24.4,39,343,36.6,85.0,20.0
University of Michigan at Ann Arbor,Ann Arbor,Michigan,4-year,Public,Research Universities--very high research activity,no,yes,28283,24.1,21.3,21.5,125051,76276,66436,96.6,27881,1352.0,13992.0,185879.0,75.8,90.0,15.7,96.9,80.3,16,106,87.1,5955.0,20.0
Michigan State University,East Lansing,Michigan,4-year,Public,Research Universities--very high research activity,no,no,37985,23.2,21.3,21.5,84771,76276,66436,91.7,35802,1158.0,8979.0,45391.0,50.4,77.6,23.9,90.5,87.5,16,106,84.1,7268.0,20.0
Michigan Technological University,Houghton,Michigan,4-year,Public,Research Universities--high research activity,no,no,5617,20.4,21.3,21.5,76157,76276,66436,92.5,5171,1206.0,9648.0,13615.0,23.6,65.8,26.7,82.2,81.5,16,96,84.1,1165.0,20.0
University of Michigan at Dearborn,Dearborn,Michigan,4-year,Public,Masters Colleges and Universities--larger programs,no,no,7144,20.6,21.3,21.5,63139,76276,66436,67.4,5890,1059.8893044128647,5524.0,4275.0,14.9,51.8,43.0,84.0,57.0,16,386,54.6,859.0,20.0
University of Michigan at Flint,Flint,Michigan,4-year,Public,Masters Colleges and Universities--larger programs,no,no,7143,18.4,21.3,21.5,56291,76276,66436,62.9,5610,993.0,6891.0,11913.0,9.4,37.5,45.2,79.9,53.3,16,386,43.1,594.0,20.0
Mid Michigan Community College,Harrison,Michigan,2-year,Public,Associates--Public Rural-serving Medium,no,no,4552,14.6,18.2,16.5,33892,40211,37780,36.7,3653,1059.8893044128647,6700.0,177.0,5.8,9.6,51.6,53.6,22.0,30,289,24.8,727.0,20.0
Monroe County Community College,Monroe,Michigan,2-year,Public,Associates--Public Suburban-serving Single Campus,no,no,3777,19.9,18.2,16.5,53023,40211,37780,34.8,2553,1059.8893044128647,2407.0,931.0,3.8,12.5,37.4,50.6,25.9,30,106,30.9,393.0,20.0
